raw_values,node,time_idx,series,node_values
-0.999,-123.852,172,0,-123.852
-0.999,-124.851,173,0,-124.851
-0.999,-125.85,174,0,-125.85
-0.999,-126.849,175,0,-126.849
-0.999,-127.848,176,0,-127.848
1,-126.848,177,0,-126.848
-0.999,-127.847,178,0,-127.847
-0.999,-128.846,179,0,-128.846
-0.999,-129.845,180,0,-129.845
-0.999,-130.844,181,0,-130.844
-0.999,-131.843,182,0,-131.843
-0.999,-132.842,183,0,-132.842
-0.999,-133.841,184,0,-133.841
-0.999,-134.84,185,0,-134.84
-0.999,-135.839,186,0,-135.839
-0.999,-136.838,187,0,-136.838
-0.999,-137.837,188,0,-137.837
-0.999,-138.836,189,0,-138.836
-0.999,-139.835,190,0,-139.835
1,-138.835,191,0,-138.835
-0.999,-139.834,192,0,-139.834
1,-138.834,193,0,-138.834
1,-137.834,194,0,-137.834
-0.999,-138.833,195,0,-138.833
-0.999,-139.832,196,0,-139.832
-0.999,-140.831,197,0,-140.831
-0.999,-141.83,198,0,-141.83
-0.999,-142.829,199,0,-142.829
1,-141.829,200,0,-141.829
-0.999,-142.828,201,0,-142.828
-0.999,-143.827,202,0,-143.827
-0.999,-144.826,203,0,-144.826
1,-143.826,204,0,-143.826
-0.999,-144.825,205,0,-144.825
-0.999,-145.824,206,0,-145.824
-0.999,-146.823,207,0,-146.823
-0.999,-147.822,208,0,-147.822
-0.999,-148.821,209,0,-148.821
-0.999,-149.82,210,0,-149.82
-0.999,-150.819,211,0,-150.819
1,-149.819,212,0,-149.819
-0.999,-150.818,213,0,-150.818
-0.999,-151.817,214,0,-151.817
-0.999,-152.816,215,0,-152.816
-0.999,-153.815,216,0,-153.815
-0.999,-154.814,217,0,-154.814
-0.999,-155.813,218,0,-155.813
-0.999,-156.812,219,0,-156.812
-0.999,-157.811,220,0,-157.811
-0.999,-158.81,221,0,-158.81
-0.999,-159.809,222,0,-159.809
-0.999,-160.808,223,0,-160.808
-0.999,-161.807,224,0,-161.807
-0.999,-162.806,225,0,-162.806
-0.999,-163.805,226,0,-163.805
-0.999,-164.804,227,0,-164.804
-0.999,-165.803,228,0,-165.803
1,-164.803,229,0,-164.803
-0.999,-165.802,230,0,-165.802
1,-164.802,231,0,-164.802
-0.999,-165.801,232,0,-165.801
1,-164.801,233,0,-164.801
-0.999,-165.8,234,0,-165.8
-0.999,-166.799,235,0,-166.799
-0.999,-167.798,236,0,-167.798
-0.999,-168.797,237,0,-168.797
-0.999,-169.796,238,0,-169.796
1,-168.796,239,0,-168.796
-0.999,-169.795,240,0,-169.795
1,-168.795,241,0,-168.795
1,-167.795,242,0,-167.795
1,-166.795,243,0,-166.795
1,-165.795,244,0,-165.795
1,-164.795,245,0,-164.795
-0.999,-165.794,246,0,-165.794
1,-164.794,247,0,-164.794
-0.999,-165.793,248,0,-165.793
-0.999,-166.792,249,0,-166.792
1,-165.792,250,0,-165.792
-0.999,-166.791,251,0,-166.791
1,-165.791,252,0,-165.791
-0.999,-166.79,253,0,-166.79
-0.999,-167.789,254,0,-167.789
-0.999,-168.788,255,0,-168.788
-0.999,-169.787,256,0,-169.787
-0.999,-170.786,257,0,-170.786
-0.999,-171.785,258,0,-171.785
1,-170.785,259,0,-170.785
-0.999,-171.784,260,0,-171.784
-0.999,-172.783,261,0,-172.783
-0.999,-173.782,262,0,-173.782
-0.999,-174.781,263,0,-174.781
-0.999,-175.78,264,0,-175.78
-0.999,-176.779,265,0,-176.779
-0.999,-177.778,266,0,-177.778
-0.999,-178.777,267,0,-178.777
1,-177.777,268,0,-177.777
-0.999,-178.776,269,0,-178.776
-0.999,-179.775,270,0,-179.775
-0.999,-180.774,271,0,-180.774
1,-179.774,272,0,-179.774
-0.999,-180.773,273,0,-180.773
-0.999,-181.772,274,0,-181.772
-0.999,-182.771,275,0,-182.771
-0.999,-183.77,276,0,-183.77
-0.999,-184.769,277,0,-184.769
1,-183.769,278,0,-183.769
-0.999,-184.768,279,0,-184.768
1,-183.768,280,0,-183.768
-0.999,-184.767,281,0,-184.767
1,-183.767,282,0,-183.767
-0.999,-184.766,283,0,-184.766
-0.999,-185.765,284,0,-185.765
-0.999,-186.764,285,0,-186.764
-0.999,-187.763,286,0,-187.763
-0.999,-188.762,287,0,-188.762
1,-187.762,288,0,-187.762
-0.999,-188.761,289,0,-188.761
1,-187.761,290,0,-187.761
1,-186.761,291,0,-186.761
-0.999,-187.76,292,0,-187.76
-0.999,-188.759,293,0,-188.759
-0.999,-189.758,294,0,-189.758
-0.999,-190.757,295,0,-190.757
-0.999,-191.756,296,0,-191.756
1,-190.756,297,0,-190.756
-0.999,-191.755,298,0,-191.755
1,-190.755,299,0,-190.755
1,-189.755,300,0,-189.755
-0.999,-190.754,301,0,-190.754
-0.999,-191.753,302,0,-191.753
-0.999,-192.752,303,0,-192.752
-0.999,-193.751,304,0,-193.751
-0.999,-194.75,305,0,-194.75
-0.999,-195.749,306,0,-195.749
-0.999,-196.748,307,0,-196.748
-0.999,-197.747,308,0,-197.747
-0.999,-198.746,309,0,-198.746
-0.999,-199.745,310,0,-199.745
-0.999,-200.744,311,0,-200.744
-0.999,-201.743,312,0,-201.743
-0.999,-202.742,313,0,-202.742
-0.999,-203.741,314,0,-203.741
1,-202.741,315,0,-202.741
-0.999,-203.74,316,0,-203.74
