Raw Letters,Raw Values,time_idx,node_values,series
w,-0.999,207,-116.838,0
q,1,208,-115.838,0
q,1,209,-114.838,0
q,1,210,-113.838,0
q,1,211,-112.838,0
w,-0.999,212,-113.837,0
w,-0.999,213,-114.836,0
w,-0.999,214,-115.835,0
w,-0.999,215,-116.834,0
w,-0.999,216,-117.833,0
w,-0.999,217,-118.832,0
w,-0.999,218,-119.831,0
w,-0.999,219,-120.83,0
w,-0.999,220,-121.829,0
q,1,221,-120.829,0
w,-0.999,222,-121.828,0
w,-0.999,223,-122.827,0
w,-0.999,224,-123.826,0
w,-0.999,225,-124.825,0
q,1,226,-123.825,0
w,-0.999,227,-124.824,0
w,-0.999,228,-125.823,0
w,-0.999,229,-126.822,0
w,-0.999,230,-127.821,0
q,1,231,-126.821,0
w,-0.999,232,-127.82,0
q,1,233,-126.82,0
w,-0.999,234,-127.819,0
w,-0.999,235,-128.818,0
q,1,236,-127.818,0
w,-0.999,237,-128.817,0
q,1,238,-127.817,0
q,1,239,-126.817,0
w,-0.999,240,-127.816,0
q,1,241,-126.816,0
w,-0.999,242,-127.815,0
w,-0.999,243,-128.814,0
w,-0.999,244,-129.813,0
q,1,245,-128.813,0
w,-0.999,246,-129.812,0
w,-0.999,247,-130.811,0
w,-0.999,248,-131.81,0
w,-0.999,249,-132.809,0
q,1,250,-131.809,0
w,-0.999,251,-132.808,0
w,-0.999,252,-133.807,0
q,1,253,-132.807,0
w,-0.999,254,-133.806,0
q,1,255,-132.806,0
w,-0.999,256,-133.805,0
w,-0.999,257,-134.804,0
w,-0.999,258,-135.803,0
q,1,259,-134.803,0
w,-0.999,260,-135.802,0
w,-0.999,261,-136.801,0
q,1,262,-135.801,0
w,-0.999,263,-136.8,0
w,-0.999,264,-137.799,0
w,-0.999,265,-138.798,0
q,1,266,-137.798,0
w,-0.999,267,-138.797,0
q,1,268,-137.797,0
q,1,269,-136.797,0
q,1,270,-135.797,0
w,-0.999,271,-136.796,0
w,-0.999,272,-137.795,0
q,1,273,-136.795,0
w,-0.999,274,-137.794,0
w,-0.999,275,-138.793,0
w,-0.999,276,-139.792,0
q,1,277,-138.792,0
w,-0.999,278,-139.791,0
q,1,279,-138.791,0
w,-0.999,280,-139.79,0
q,1,281,-138.79,0
w,-0.999,282,-139.789,0
q,1,283,-138.789,0
q,1,284,-137.789,0
w,-0.999,285,-138.788,0
w,-0.999,286,-139.787,0
w,-0.999,287,-140.786,0
w,-0.999,288,-141.785,0
w,-0.999,289,-142.784,0
q,1,290,-141.784,0
w,-0.999,291,-142.783,0
q,1,292,-141.783,0
q,1,293,-140.783,0
w,-0.999,294,-141.782,0
q,1,295,-140.782,0
w,-0.999,296,-141.781,0
w,-0.999,297,-142.78,0
w,-0.999,298,-143.779,0
w,-0.999,299,-144.778,0
q,1,300,-143.778,0
w,-0.999,301,-144.777,0
w,-0.999,302,-145.776,0
w,-0.999,303,-146.775,0
w,-0.999,304,-147.774,0
w,-0.999,305,-148.773,0
w,-0.999,306,-149.772,0
w,-0.999,307,-150.771,0
q,1,308,-149.771,0
w,-0.999,309,-150.77,0
w,-0.999,310,-151.769,0
w,-0.999,311,-152.768,0
w,-0.999,312,-153.767,0
w,-0.999,313,-154.766,0
w,-0.999,314,-155.765,0
w,-0.999,315,-156.764,0
w,-0.999,316,-157.763,0
w,-0.999,317,-158.762,0
q,1,318,-157.762,0
w,-0.999,319,-158.761,0
q,1,320,-157.761,0
w,-0.999,321,-158.76,0
w,-0.999,322,-159.759,0
w,-0.999,323,-160.758,0
w,-0.999,324,-161.757,0
w,-0.999,325,-162.756,0
w,-0.999,326,-163.755,0
w,-0.999,327,-164.754,0
w,-0.999,328,-165.753,0
q,1,329,-164.753,0
w,-0.999,330,-165.752,0
q,1,331,-164.752,0
w,-0.999,332,-165.751,0
q,1,333,-164.751,0
q,1,334,-163.751,0
w,-0.999,335,-164.75,0
w,-0.999,336,-165.749,0
w,-0.999,337,-166.748,0
w,-0.999,338,-167.747,0
w,-0.999,339,-168.746,0
q,1,340,-167.746,0
w,-0.999,341,-168.745,0
q,1,342,-167.745,0
w,-0.999,343,-168.744,0
q,1,344,-167.744,0
w,-0.999,345,-168.743,0
w,-0.999,346,-169.742,0
w,-0.999,347,-170.741,0
w,-0.999,348,-171.74,0
w,-0.999,349,-172.739,0
w,-0.999,350,-173.738,0
w,-0.999,351,-174.737,0
w,-0.999,352,-175.736,0
w,-0.999,353,-176.735,0
q,1,354,-175.735,0
w,-0.999,355,-176.734,0
w,-0.999,356,-177.733,0
w,-0.999,357,-178.732,0
w,-0.999,358,-179.731,0
w,-0.999,359,-180.73,0
w,-0.999,360,-181.729,0
w,-0.999,361,-182.728,0
q,1,362,-181.728,0
w,-0.999,363,-182.727,0
w,-0.999,364,-183.726,0
w,-0.999,365,-184.725,0
w,-0.999,366,-185.724,0
w,-0.999,367,-186.723,0
q,1,368,-185.723,0
w,-0.999,369,-186.722,0
w,-0.999,370,-187.721,0
w,-0.999,371,-188.72,0
w,-0.999,372,-189.719,0
w,-0.999,373,-190.718,0
w,-0.999,374,-191.717,0
q,1,375,-190.717,0
w,-0.999,376,-191.716,0
w,-0.999,377,-192.715,0
q,1,378,-191.715,0
w,-0.999,379,-192.714,0
w,-0.999,380,-193.713,0
w,-0.999,381,-194.712,0
q,1,382,-193.712,0
w,-0.999,383,-194.711,0
q,1,384,-193.711,0
q,1,385,-192.711,0
w,-0.999,386,-193.71,0
q,1,387,-192.71,0
q,1,388,-191.71,0
q,1,389,-190.71,0
w,-0.999,390,-191.709,0
q,1,391,-190.709,0
w,-0.999,392,-191.708,0
q,1,393,-190.708,0
w,-0.999,394,-191.707,0
w,-0.999,395,-192.706,0
q,1,396,-191.706,0
w,-0.999,397,-192.705,0
w,-0.999,398,-193.704,0
w,-0.999,399,-194.703,0
w,-0.999,400,-195.702,0
w,-0.999,401,-196.701,0
q,1,402,-195.701,0
w,-0.999,403,-196.7,0
q,1,404,-195.7,0
q,1,405,-194.7,0
w,-0.999,406,-195.699,0
q,1,407,-194.699,0
w,-0.999,408,-195.698,0
q,1,409,-194.698,0
w,-0.999,410,-195.697,0
q,1,411,-194.697,0
w,-0.999,412,-195.696,0
w,-0.999,413,-196.695,0
w,-0.999,414,-197.694,0
w,-0.999,415,-198.693,0
